cve_id,cve_id_year,published,last_modified,time_to_first_enrichment_days,nvd_vuln_status,cna_shortName,cvss3_1_cna,cvss3_1_nvd,cvss3_1_adp,cvss4_0_cna,cvss4_0_nvd,cvss4_0_adp,cvss_scores_all_agree,cwe_cna,cwe_nvd,cwe_adp,has_cpe_applicability,has_packageURL,ssvc_exploitation,ssvc_automatable,ssvc_tech_impact,kev_listed,n_references,n_ref_tag_patch,n_ref_tag_exploit,n_ref_tag_vendor_advisory,n_ref_tag_third_party_advisory,cvelistv5_first_commit_at,cvelistv5_last_commit_at,cvelistv5_n_commits,vulnrichment_first_commit_at,vulnrichment_last_commit_at,vulnrichment_n_commits,nvd_fkie_first_observed_at,nvd_fkie_last_modified_at,nvd_fkie_n_modifications
CVE-2017-0001,2017,2017-03-17T00:59:00.167,2025-10-22T00:15:57.413,3140,Deferred,microsoft,,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,,,,true,,,,true,false,active,no,total,true,7,2,0,2,4,2023-03-28T09:12:34Z,2026-02-19T17:26:36Z,9,2025-02-10T16:14:17Z,2026-02-20T08:14:59Z,2,2026-01-19T00:59:06Z,2026-04-22T14:03:02Z,3
CVE-2017-0002,2017,2017-01-10T21:59:00.133,2025-04-20T01:37:25.860,3021,Deferred,microsoft,,,,,,,true,,,,true,false,,,,false,6,0,0,0,0,2023-03-28T09:12:34Z,2026-02-19T17:26:36Z,3,,,,2026-01-19T00:59:06Z,2026-01-19T00:59:06Z,1
CVE-2017-0003,2017,2017-01-10T21:59:00.167,2025-04-20T01:37:25.860,3021,Deferred,microsoft,,,,,,,true,,CWE-119,,true,false,,,,false,10,0,0,0,0,2023-03-28T09:12:34Z,2026-02-19T17:26:36Z,3,,,,2026-01-19T00:59:06Z,2026-01-19T00:59:06Z,1
CVE-2017-0004,2017,2017-01-10T21:59:00.197,2025-04-20T01:37:25.860,3021,Deferred,microsoft,,,,,,,true,,CWE-20,,true,false,,,,false,6,0,0,0,0,2023-03-28T09:12:34Z,2026-02-19T17:26:36Z,3,,,,2026-01-19T00:59:06Z,2026-01-19T00:59:06Z,1
CVE-2017-0005,2017,2017-03-17T00:59:00.197,2025-10-22T00:15:57.567,3140,Deferred,microsoft,,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,,,,true,,,,true,false,active,no,total,true,9,4,2,4,4,2023-03-28T09:12:34Z,2026-02-19T17:26:36Z,9,2025-02-10T16:14:17Z,2026-02-20T07:14:59Z,3,2026-01-19T00:59:06Z,2026-04-22T14:03:02Z,3
CVE-2017-0006,2017,2017-03-17T00:59:00.227,2025-04-20T01:37:25.860,2956,Deferred,microsoft,,,,,,,true,,CWE-119,,true,false,,,,false,6,2,0,2,2,2023-03-28T09:12:34Z,2026-02-19T17:26:36Z,3,,,,2026-01-19T00:59:06Z,2026-01-19T00:59:06Z,1
CVE-2017-0007,2017,2017-03-17T00:59:00.257,2025-04-20T01:37:25.860,2956,Deferred,microsoft,,,,,,,true,,CWE-20,,true,false,,,,false,8,2,0,2,0,2023-03-28T09:12:34Z,2026-02-19T17:26:36Z,3,,,,2026-01-19T00:59:06Z,2026-01-19T00:59:06Z,1
CVE-2017-0008,2017,2017-03-17T00:59:00.290,2025-04-20T01:37:25.860,2956,Deferred,microsoft,,,,,,,true,,CWE-200,,true,false,,,,false,6,2,0,2,2,2023-03-28T09:12:34Z,2026-02-19T17:26:36Z,3,,,,2026-01-19T00:59:06Z,2026-01-19T00:59:06Z,1
CVE-2017-0009,2017,2017-03-17T00:59:00.320,2025-04-20T01:37:25.860,2956,Deferred,microsoft,,,,,,,true,,CWE-200,,true,false,,,,false,8,2,0,2,2,2023-03-28T09:12:34Z,2026-02-19T17:26:36Z,3,,,,2026-01-19T00:59:06Z,2026-01-19T00:59:06Z,1
CVE-2017-0010,2017,2017-03-17T00:59:00.353,2025-04-20T01:37:25.860,2956,Deferred,microsoft,,,,,,,true,,,,true,false,,,,false,6,2,0,2,2,2023-03-28T09:12:34Z,2026-02-19T17:26:36Z,3,,,,2026-01-19T00:59:06Z,2026-01-19T00:59:06Z,1
